name,description,url,last_month_stars,this_month_stars,stars_m_m_growth,last_month_multiple
ML-For-Beginners,"
        12 weeks, 26 lessons, 52 quizzes, classic Machine Learning for all
      ",https://github.com/microsoft/ML-For-Beginners,49800,66900,17100,1.3
machine-learning,"
        🌎 machine learning tutorials (mainly in Python3) 
      ",https://github.com/ethen8181/machine-learning,2300,3100,800,1.3
machine-learning,"
        머신러닝 입문자 혹은 스터디를 준비하시는 분들에게 도움이 되고자 만든 repository입니다. (This repository is intented for helping whom are interested in machine learning study)
      ",https://github.com/teddylee777/machine-learning,2000,2500,500,1.3
ML-YouTube-Courses,"
        📺 Discover the latest machine learning / AI courses on YouTube.
      ",https://github.com/dair-ai/ML-YouTube-Courses,10600,14300,3700,1.3
zero-to-mastery-ml,"
        All course materials for the Zero to Mastery Machine Learning and Data Science course.
      ",https://github.com/mrdbourke/zero-to-mastery-ml,2000,2600,600,1.3
Machine-Learning-Collection,"
        A resource for learning about Machine learning & Deep Learning
      ",https://github.com/aladdinpersson/Machine-Learning-Collection,5400,6900,1500,1.3
Awesome-Rust-MachineLearning,"
        This repository is a list of machine learning libraries written in Rust. It's a compilation of GitHub repositories, blogs, books, movies, discussions, papers, etc. 🦀
      ",https://github.com/vaaaaanquish/Awesome-Rust-MachineLearning,1300,1700,400,1.3
Data-Science-Interview-Resources,"
        A repository listing out the potential sources which will help you in preparing for a Data Science/Machine Learning interview. New resources added frequently.
      ",https://github.com/rbhatia46/Data-Science-Interview-Resources,1800,2300,500,1.3
Awesome-Quant-Machine-Learning-Trading,"
        Quant/Algorithm trading resources with an emphasis on Machine Learning
      ",https://github.com/grananqvist/Awesome-Quant-Machine-Learning-Trading,1800,2400,600,1.3
feast,"
        Feature Store for Machine Learning
      ",https://github.com/feast-dev/feast,4400,5300,900,1.2
AIX360,"
        Interpretability and explainability of data and machine learning models
      ",https://github.com/Trusted-AI/AIX360,1300,1500,200,1.2
EconML,"
        ALICE (Automated Learning and Intelligence for Causation and Economics) is a Microsoft Research project aimed at applying Artificial Intelligence concepts to economic decision making. One of its goals is to build a toolkit that combines state-of-the-art machine learning techniques with econometrics in order to bring automation to complex causal …
      ",https://github.com/py-why/EconML,3000,3600,600,1.2
ludwig,"
        Low-code framework for building custom LLMs, neural networks, and other AI models
      ",https://github.com/ludwig-ai/ludwig,9000,10800,1800,1.2
mlflow,"
        Open source platform for the machine learning lifecycle
      ",https://github.com/mlflow/mlflow,14600,17300,2700,1.2
causalml,"
        Uplift modeling and causal inference with machine learning algorithms
      ",https://github.com/uber/causalml,4000,4800,800,1.2
numpy-ml,"
        Machine learning, in numpy
      ",https://github.com/ddbourgin/numpy-ml,11800,14600,2800,1.2
SynapseML,"
        Simple and Distributed Machine Learning
      ",https://github.com/microsoft/SynapseML,4300,5000,700,1.2
C-Plus-Plus,"
        Collection of various algorithms in mathematics, machine learning, computer science and physics implemented in C++ for educational purposes.
      ",https://github.com/TheAlgorithms/C-Plus-Plus,24700,29100,4400,1.2
transformers,"
        🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.
      ",https://github.com/huggingface/transformers,105000,125000,20000,1.2
MLE-Flashcards,"
        200+ detailed flashcards useful for reviewing topics in machine learning, computer vision, and computer science.
      ",https://github.com/b7leung/MLE-Flashcards,1600,1900,300,1.2
audiomentations,"
        A Python library for audio data augmentation. Inspired by albumentations. Useful for machine learning.
      ",https://github.com/iver56/audiomentations,1400,1700,300,1.2
awesome-deep-trading,"
        List of awesome resources for machine learning-based algorithmic trading
      ",https://github.com/cbailes/awesome-deep-trading,1200,1400,200,1.2
awesome-multimodal-ml,"
        Reading list for research topics in multimodal machine learning
      ",https://github.com/pliang279/awesome-multimodal-ml,4400,5400,1000,1.2
GeneticAlgorithmPython,"
        Source code of PyGAD, a Python 3 library for building the genetic algorithm and training machine learning algorithms (Keras & PyTorch).
      ",https://github.com/ahmedfgad/GeneticAlgorithmPython,1400,1700,300,1.2
machine_learning_refined,"
        Notes, examples, and Python demos for the 2nd edition of the textbook ""Machine Learning Refined"" (published by Cambridge University Press). 
      ",https://github.com/jermwatt/machine_learning_refined,1300,1600,300,1.2
machine-learning-for-trading,"
        Code for Machine Learning for Algorithmic Trading, 2nd edition.
      ",https://github.com/stefan-jansen/machine-learning-for-trading,9500,11800,2300,1.2
Papers-Literature-ML-DL-RL-AI,"
        Highly cited and useful papers related to machine learning, deep learning, AI, game theory, reinforcement learning
      ",https://github.com/tirthajyoti/Papers-Literature-ML-DL-RL-AI,1900,2200,300,1.2
adversarial-robustness-toolbox,"
        Adversarial Robustness Toolbox (ART) - Python Library for Machine Learning Security - Evasion, Poisoning, Extraction, Inference - Red and Blue Teams
      ",https://github.com/Trusted-AI/adversarial-robustness-toolbox,3800,4500,700,1.2
Awesome-System-for-Machine-Learning,"
        A curated list of research in machine learning systems (MLSys). Paper notes are also provided.
      ",https://github.com/HuaizhengZhang/Awesome-System-for-Machine-Learning,2000,2400,400,1.2
awesome-production-machine-learning,"
        A curated list of awesome open source libraries to deploy, monitor, version and scale your machine learning
      ",https://github.com/EthicalML/awesome-production-machine-learning,13900,16000,2100,1.2
SGX-Full-OrderBook-Tick-Data-Trading-Strategy,"
        Providing the solutions for high-frequency trading (HFT) strategies using data science approaches (Machine Learning) on Full Orderbook Tick Data.
      ",https://github.com/rorysroes/SGX-Full-OrderBook-Tick-Data-Trading-Strategy,1500,1800,300,1.2
machine-learning-interview,"
        Machine Learning Interviews from FAANG, Snapchat, LinkedIn. I have offers from Snapchat, Coupang, Stitchfix etc. Blog: mlengineer.io.
      ",https://github.com/khangich/machine-learning-interview,6700,8000,1300,1.2
C,"
        Collection of various algorithms in mathematics, machine learning, computer science, physics, etc implemented in C for educational purposes.
      ",https://github.com/TheAlgorithms/C,16400,18000,1600,1.1
ML,"
        A high-level machine learning and deep learning library for the PHP language.
      ",https://github.com/RubixML/ML,1800,2000,200,1.1
cml,"
        ♾️ CML - Continuous Machine Learning | CI/CD for ML
      ",https://github.com/iterative/cml,3700,3900,200,1.1
nni,"
        An open source AutoML toolkit for automate machine learning lifecycle, including feature engineering, neural architecture search, model compression and hyper-parameter tuning.
      ",https://github.com/microsoft/nni,13000,13700,700,1.1
Simd,"
        C++ image processing and machine learning library with using of SIMD: SSE, AVX, AVX-512, AMX for x86/x64, VMX(Altivec) and VSX(Power7) for PowerPC, NEON for ARM.
      ",https://github.com/ermig1979/Simd,1800,2000,200,1.1
