name,description,url,last_month_installs,this_month_installs,installs_m_m_growth,last_month_multiple
Bitnami Elasticsearch Stack,"Elasticsearch is a distributed and fast search engine that works on top of Apache Lucene. It allows you to combine different types of searches: structured, unstructured, geo, and metric. It is used by large companies to quickly support full-text searches across massive amounts of unstructured data on their sites. Elasticsearch also provides aggregations that enable you to analyze trends and patterns in your data. You can set it to rank your search results based on term frequency, popularity or even including typos.",https://aws.amazon.com/marketplace/pp/B00T6L24IU?qid=1714077429589&sr=0-636&ref_=srh_res_product_title,73,0,-73,0.0
"Movable Type 7 (Amazon Linux 2, nginx, x86)","Movable Type is a social publishing platform equipped with powerful functions that help users publish information online. Movable Type includes a highly flexible system for managing website files and images, as well as functions that anyone can use to build web content easily. The various functions support the creation, operation and management of all sorts of online presences, from simple blogs to large-scale corporate websites.",https://aws.amazon.com/marketplace/pp/B07D2JPVH4?qid=1714077431204&sr=0-641&ref_=srh_res_product_title,2,0,-2,0.0
SoftNAS BYOL - High Performance NFS/CIFS/iSCSI Cloud NAS,"SoftNAS by Buurst is a leading enterprise-level cloud NAS solution renowned for its robust capabilities in data performance, security, high availability (HA), and support for industry-leading storage protocols like NFS, CIFS/SMB-AD, and iSCSI. Notably, Buurst stands out by eliminating storage charges, enabling seamless addition of storage to an instance without incurring additional costs. Additionally, this BYOL version features custom pricing tailored on a case-by-case basis. Contact us to obtain personalized BYOL pricing, specifically crafted to meet your unique needs, along with the corresponding license key.",https://aws.amazon.com/marketplace/pp/B086WNTVYZ?qid=1714077433598&sr=0-651&ref_=srh_res_product_title,1,0,-1,0.0
Pulse Connect Secure - BYOL 2 NIC,"Pulse Secure Connect Secure provides secure, authenticated access for remote and mobile users from any web-enabled device to corporate resources anytime, anywhere. Pulse Connect Secure is the most widely deployed SSL VPN for organizations of any size, across every major industry. It provides a unified access gateway for layer 3 network access, on-demand and per-app VPN, L7 clienteles access, single sign-on, HTML5-based access, VDI gateway, mobile VPN and ActiveSync proxy.",https://aws.amazon.com/marketplace/pp/B07KX8PGHS?qid=1714077435813&sr=0-667&ref_=srh_res_product_title,87,1,-86,0.0
CloudGuard Network Security for Gateway Load Balancer,"CloudGuard Network Security for AWS delivers advanced, multi-layered network security for the AWS cloud environment and protects cloud assets. Security features include Firewall, IPS, Application Control, IPsec VPN, Antivirus and Anti-Bot.",https://aws.amazon.com/marketplace/pp/B091B9RZ3R?qid=1714077482890&sr=0-671&ref_=srh_res_product_title,6,0,-6,0.0
Cisco vEdge Cloud Router,"As part of Cisco Cloud connect portfolio, vEdge Cloud is a software router platform that supports an entire range of capabilities available on the physical vEdge router platforms. The vEdge Cloud router is offered as a virtual machine that can be deployed in the variety of private, public, and hybrid cloud computing environments. It is supported on all major hypervisor platforms.",https://aws.amazon.com/marketplace/pp/B07BZ53FJT?qid=1714077346859&sr=0-340&ref_=srh_res_product_title,1,0,-1,0.0
Symantec Protection Engine for Cloud Services on Linux - BYOL,"Symantec Protection Engine for Cloud Services is a flexible and feature-rich client/server application that allows customers to incorporate malware and threat detection technologies into almost any application. SPE for Cloud Services provides access to innovate security that helps to ensure the safety of your information on the web. Symantec's file reputation service puts files in context, using their age, frequency, location, and other factors to expose threats that would otherwise be missed. Advanced Machine Learning tunes the solution according to scanning behavior. Protection Engine for Cloud Services includes Symantec's proprietary URL categorization technology and industry-leading malware protection for fast, scalable, and reliable scanning services that help you protect your data and storage systems against the ever-growing malware threat landscape. Alongside native Internet Content Adaptation Protocol (ICAP) support, Protection Engine for Cloud Services provides a full client software development kit (SDK) that enables customers to fully embed malware protection in business-critical applications, services, and devices. Platform support spanning Microsoft Windows, Red Hat Enterprise Linux, Rocky Linux and CentOS ensures that you can take advantage of market-leading malware detection wherever you need it. Rich, easy-to-use centralized console is now available for managing and monitoring all instances.",https://aws.amazon.com/marketplace/pp/B01B5CQ2K8?qid=1714077489005&sr=0-704&ref_=srh_res_product_title,490,0,-490,0.0
Fortinet FortiADC-VM Application Delivery Controller (BYOL),"Advanced Application Delivery Controller for AWS. FortiADC Application Delivery Controllers (ADC) provides application availability, web optimization, and application security (WAF). The FortiADC family of physical and virtual appliances delivers fast, secure and intelligent acceleration and distribution of demanding applications in the enterprise. FortiADC delivers fast, secure and intelligent acceleration for demanding application environments. FortiADC virtual machines offer the same features of the FortiADC hardware-based appliances and provide the flexibility to add or spin down system resources to match usage demands and help control costs in dynamic application environments.",https://aws.amazon.com/marketplace/pp/B07SKF2JT7?qid=1714077490818&sr=0-717&ref_=srh_res_product_title,5,0,-5,0.0
"Exasol Analytic Database (Single Node / Cluster, Bring-Your-Own-License)","Exasol is the fastest in-memory MPP database according to the TPC-H benchmark for clustered, decision support databases.",https://aws.amazon.com/marketplace/pp/B01IVOPPN8?qid=1714077493034&sr=0-729&ref_=srh_res_product_title,16,0,-16,0.0
Dell Avamar Virtual Edition,"Avamar Virtual Edition (AVE) is a virtualized version of the industry leading protection software, Dell Avamar. With the movement companies are making to take advantage of the agility and flexibility of the public, private and hybrid cloud, Dell wanted to provide the same protection expected from Avamar in these new environments. AWS users will benefit from fast, efficient data backup and recovery through a complete software solution. Equipped with native deduplication technology, AVE facilitates fast, daily full backups for virtual environments, remote offices, enterprise applications, network-attached storage (NAS) servers, and desktops/laptops.",https://aws.amazon.com/marketplace/pp/B07C4ZZ8KY?qid=1714077494551&sr=0-733&ref_=srh_res_product_title,20,0,-20,0.0
