name,description,url,last_month_installs,this_month_installs,installs_m_m_growth,last_month_multiple
Zoho Creator,Create custom apps for all your business needs with very little code. Build once on web and use them across mobile platforms with targeted functionality.,https://workspace.google.com/marketplace/app/zoho_creator/77578066546,7,100,93,14.3
Zoho CRM for Gmail,"Zoho CRM is a flexible cloud-based CRM for your business that helps you attract, retain and delight customers.",https://workspace.google.com/marketplace/app/zoho_crm_for_gmail/490347649391,7,99,92,14.1
Mail Merge with Attachments,"Send personalized emails with Gmail™ Mail Merge. Include different file attachments, schedule emails for sending later, CC and BCC recipients, create drafts, track email opens, clicks, and bounces.",https://workspace.google.com/marketplace/app/mail_merge_with_attachments/223404411203,220,3038,2818,13.8
Salesforce Connector for Gmail,"Integrate your Gmail™, Google Calendar and Salesforce.com CRM in one easy step with virtually nothing to install. Now with full mobile support for the Gmail™ app on iOS and Android!",https://workspace.google.com/marketplace/app/salesforce_connector_for_gmail/1085601474281,14,186,172,13.3
Zoho Creator,Create custom apps for all your business needs with very little code. Build once on web and use them across mobile platforms with targeted functionality.,https://workspace.google.com/marketplace/app/zoho_creator/77578066546,8,100,92,12.5
Zoho CRM for Gmail,"Zoho CRM is a flexible cloud-based CRM for your business that helps you attract, retain and delight customers.",https://workspace.google.com/marketplace/app/zoho_crm_for_gmail/490347649391,8,99,91,12.4
Zoho CRM,"Zoho CRM is a flexible cloud-based CRM for your business that helps you attract, retain and delight customers.",https://workspace.google.com/marketplace/app/zoho_crm/469571659015,11,135,124,12.3
Zoho CRM,"Zoho CRM is a flexible cloud-based CRM for your business that helps you attract, retain and delight customers.",https://workspace.google.com/marketplace/app/zoho_crm/469571659015,11,135,124,12.3
Zoho CRM,"Zoho CRM is a flexible cloud-based CRM for your business that helps you attract, retain and delight customers.",https://workspace.google.com/marketplace/app/zoho_crm/469571659015,11,135,124,12.3
Zoho Invoice,"Craft professional invoices and collect payments online without spending a dime. Stay on top of your expenses, handle projects, and gain critical insights with over 30 reports using Zoho Invoice.",https://workspace.google.com/marketplace/app/zoho_invoice/526297669360,14,168,154,12.0
Form Builder,"Build your Google Form by importing from Forms, Sheets, Docs, Slides, PDFs, MS Word/ Powerpoint, Images, etc.",https://workspace.google.com/marketplace/app/form_builder/133781775166,513,6082,5569,11.9
Zoho Invoice,"Craft professional invoices and collect payments online without spending a dime. Stay on top of your expenses, handle projects, and gain critical insights with over 30 reports using Zoho Invoice.",https://workspace.google.com/marketplace/app/zoho_invoice/526297669360,15,168,153,11.2
Zoho Creator,Create custom apps for all your business needs with very little code. Build once on web and use them across mobile platforms with targeted functionality.,https://workspace.google.com/marketplace/app/zoho_creator/77578066546,9,100,91,11.1
Zoho CRM for Gmail,"Zoho CRM is a flexible cloud-based CRM for your business that helps you attract, retain and delight customers.",https://workspace.google.com/marketplace/app/zoho_crm_for_gmail/490347649391,9,99,90,11.0
i CRM for Gmail™,i CRM for Gmail™ is a flexible and robust CRM solution that works directly inside Gmail™ from any browser or in the Gmail™ MOBILE App.,https://workspace.google.com/marketplace/app/i_crm_for_gmail/595198724352,14,150,136,10.7
Dynamics 365 Connector for Gmail,"An easy to use full featured integration between Gmail™, Google Calendar and Microsoft Dynamics 365 CRM",https://workspace.google.com/marketplace/app/dynamics_365_connector_for_gmail/1068646806018,14,150,136,10.7
Form Builder for Docs,Build your Google Forms™ straight from any Google Docs™.,https://workspace.google.com/marketplace/app/form_builder_for_docs/725512574241,31,328,297,10.6
"Text to MP3, Audio to Mail","Convert multiple language (English..) text into MP3 audio. You can listen, download, and email it using your Gmail account.",https://workspace.google.com/marketplace/app/text_to_mp3_audio_to_mail/875334835059,8,83,75,10.4
"MOLE: Yahoo Finance, Stock, Amazon, Crypto Scraper","Yahoo Finance, Stock Market, Amazon, YouTube™, Dividend Data, Stock Price Data, Crypto Price, Facebook, Nasdaq, Binance, Bloomberg - Scrape websites with our MOLE Scraper",https://workspace.google.com/marketplace/app/mole_yahoo_finance_stock_amazon_crypto_s/259679730019,17,176,159,10.4
"Social Drive, Comment and Reply for any file","This app allows you to comment, manage comments (list, reply, edit, delete..) on Google Drive's file. Share it with your friends.",https://workspace.google.com/marketplace/app/social_drive_comment_and_reply_for_any_f/619726404418,26,264,238,10.2
Zoho Forms,"Build powerful online forms, on the web or mobile.",https://workspace.google.com/marketplace/app/zoho_forms/1055037783803,7,71,64,10.1
Form Builder,"Build your Google Form by importing from Forms, Sheets, Docs, Slides, PDFs, MS Word/ Powerpoint, Images, etc.",https://workspace.google.com/marketplace/app/form_builder/133781775166,609,6082,5473,10.0
"Zoho: Craft, Send, and Track with Mail Merge",Merge data from Zoho CRM and Google Sheets to your Google Documents for personalized email or letters.,https://workspace.google.com/marketplace/app/zoho_craft_send_and_track_with_mail_merg/1002365760077,7,70,63,10.0
